scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,0.0,0.1719600024325193,1.0977521767740828,10
s1,0.0,5e-05,5e-05,0.0,0.1543468251279244,1.0977521767740828,10
s1,0.0,0.0001,0.0001,0.0,0.1248108281859487,1.0977521767740828,10
s1,0.0,0.00025,0.00025,0.0,0.0956327590850252,1.0977521767740828,10
s1,0.0002,0.0,0.0,0.0,0.1250766677960506,1.0977521767740828,10
s2,0.0,0.0,0.0,0.0,0.030543175769791,1.646628265161124,10
s2,0.0,5e-05,5e-05,0.0,0.0256792954960746,1.646628265161124,10
s2,0.0,0.0001,0.0001,0.0,0.02550206908934,1.646628265161124,10
s2,0.0,0.00025,0.00025,0.0,0.0148267843542674,1.646628265161124,10
s2,0.0002,0.0,0.0,0.0,0.0216471051572305,1.646628265161124,10
s3,0.0,0.0,0.0,0.0,0.2178498091989882,8.115981765642733,10
s3,0.0,5e-05,5e-05,0.0,0.1923288299006777,8.115981765642733,10
s3,0.0,0.0001,0.0001,0.0,0.1655921294215454,8.115981765642733,10
s3,0.0,0.00025,0.00025,0.0,0.094106407917581,8.115981765642733,10
s3,0.0002,0.0,0.0,0.0,0.2162254007702544,8.115981765642733,10
