scheme,p_sub,p_ins,p_del,success_mean,effective_bits_per_base_mean,overhead_mean,trials
s1,0.0,0.0,0.0,1.0,1.822064056939502,1.09765625,10
s1,0.0,5e-05,5e-05,0.0,1.597950177935943,1.09765625,10
s1,0.0,0.0001,0.0001,0.0,1.4439857651245551,1.09765625,10
s1,0.0,0.00025,0.00025,0.0,1.0130676156583631,1.09765625,10
s1,0.0,0.0005,0.0005,0.0,0.5721281138790035,1.09765625,10
s2,0.0,0.0,0.0,1.0,1.2147093712930013,1.646484375,10
s2,0.0,5e-05,5e-05,0.0,1.0167117437722422,1.646484375,10
s2,0.0,0.0001,0.0001,0.0,0.8843084223013049,1.646484375,10
s2,0.0,0.00025,0.00025,0.0,0.52414709371293,1.646484375,10
s2,0.0,0.0005,0.0005,0.0,0.2271506524317911,1.646484375,10
s3,0.0,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.0002,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.0005,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.001,0.0,0.0,1.0,0.1258758451137062,15.888671875,10
s3,0.002,0.0,0.0,0.9,0.1258129071911493,15.888671875,10
